province,Y-W,newcases,newcases_tminus1,newcases_tminus2,newcases_tminus3,newcases_tminus4,newcases_tplus1,newcases_tplus2,newcases_tplus4,spc_tminus1,spc_tminus2,spc_tminus3,spc_tminus4,temp_min_tminus1,temp_min_tminus2,temp_min_tminus3,temp_min_tminus4,temp_max_tminus1,temp_max_tminus2,temp_max_tminus3,temp_max_tminus4,retail_tminus1,retail_tminus2,retail_tminus3,retail_tminus4,grocery_tminus1,grocery_tminus2,grocery_tminus3,grocery_tminus4,parks_tminus1,parks_tminus2,parks_tminus3,parks_tminus4,transit_tminus1,transit_tminus2,transit_tminus3,transit_tminus4,workplaces_tminus1,workplaces_tminus2,workplaces_tminus3,workplaces_tminus4,residential_tminus1,residential_tminus2,residential_tminus3,residential_tminus4,2019employment_rate,2019intermunicipal_migration_rate,2019annual_contrib_margin,2019share_age_64,2019number_workplaces,Subdivision Name (en)
Central Ostrobothnia,2020-02,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,-5.483333333333333,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3,-450,189.5,23.4,28177,Central Ostrobothnia
Central Finland,2020-02,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,-9.683333333333334,,,,-0.3166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,-262,94.5,23.2,106637,Central Finland
Kymenlaakso,2020-02,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,-3.033333333333333,,,,2.183333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.9,-1286,175.6,28.0,61440,Kymenlaakso
Lapland,2020-02,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0833333333333333,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3,-968,-0.3,25.3,71925,Lapland
Pirkanmaa,2020-02,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,-1.3666666666666665,,,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.4,1886,305.6,21.8,217811,Pirkanmaa
Ostrobothnia,2020-02,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,-3.016666666666667,,,,2.283333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.7,-986,275.3,23.0,78711,Ostrobothnia
North Karelia,2020-02,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,-0.3,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8,-636,345.7,26.5,60515,North Karelia
Northern Ostrobothnia,2020-02,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,-2.9500000000000006,,,,2.316666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-862,185.0,19.6,164619,Northern Ostrobothnia
Northern Savonia,2020-02,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,-1.3,,,,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-543,162.0,25.3,98975,Northern Savonia
Päijänne Tavastia,2020-02,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,-4.433333333333334,,,,1.9666666666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-591,222.7,26.7,77081,Päijänne Tavastia
Satakunta,2020-02,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.7000000000000001,,,,4.433333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2,-1141,63.9,27.2,86401,Satakunta
Uusimaa,2020-02,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,-1.9666666666666668,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.2,8144,601.0,17.6,836622,Uusimaa
Southwest Finland,2020-02,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.4166666666666667,,,,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4,887,74.1,23.3,202061,Southwest Finland
South Karelia,2020-03,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,-1.657142857142857,-3.516666666666667,,,2.185714285714286,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4,-488,387.3,27.4,47995,South Karelia
Southern Ostrobothnia,2020-03,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,-1.1142857142857143,-1.4833333333333334,,,3.457142857142857,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8,-935,123.6,25.4,77419,Southern Ostrobothnia
Southern Savonia,2020-03,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,-1.4714285714285715,-3.483333333333333,,,2.814285714285714,2.6166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,68.9,-1228,143.5,30.9,50145,Southern Savonia
Kainuu,2020-03,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,-1.6428571428571428,-3.6,,,3.542857142857143,2.3666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3,-462,857.2,28.5,27218,Kainuu
Tavastia Proper,2020-03,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,-6.414285714285714,-9.5,,,-0.8428571428571429,-1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1,-69,197.5,25.3,64199,Tavastia Proper
Central Ostrobothnia,2020-03,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,-2.7571428571428567,-5.483333333333333,,,1.9428571428571428,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3,-450,189.5,23.4,28177,Central Ostrobothnia
Central Finland,2020-03,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,-7.057142857142858,-9.683333333333334,,,0.0714285714285714,-0.3166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,-262,94.5,23.2,106637,Central Finland
Kymenlaakso,2020-03,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,-0.6571428571428571,-3.033333333333333,,,2.3857142857142857,2.183333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,67.9,-1286,175.6,28.0,61440,Kymenlaakso
Lapland,2020-03,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.5857142857142857,0.0833333333333333,,,4.142857142857143,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3,-968,-0.3,25.3,71925,Lapland
Pirkanmaa,2020-03,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,-1.2857142857142858,-1.3666666666666665,,,3.414285714285714,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,71.4,1886,305.6,21.8,217811,Pirkanmaa
Ostrobothnia,2020-03,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,-1.7,-3.016666666666667,,,3.9,2.283333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,76.7,-986,275.3,23.0,78711,Ostrobothnia
North Karelia,2020-03,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,-0.2428571428571428,-0.3,,,4.428571428571429,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8,-636,345.7,26.5,60515,North Karelia
Northern Ostrobothnia,2020-03,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,-1.1142857142857143,-2.9500000000000006,,,3.4,2.316666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-862,185.0,19.6,164619,Northern Ostrobothnia
Northern Savonia,2020-03,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,-1.6428571428571428,-1.3,,,2.9857142857142853,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-543,162.0,25.3,98975,Northern Savonia
Päijänne Tavastia,2020-03,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,-1.542857142857143,-4.433333333333334,,,3.128571428571429,1.9666666666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-591,222.7,26.7,77081,Päijänne Tavastia
Satakunta,2020-03,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,-0.5857142857142855,0.7000000000000001,,,4.814285714285715,4.433333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2,-1141,63.9,27.2,86401,Satakunta
Uusimaa,2020-03,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,-1.3,-1.9666666666666668,,,3.4285714285714284,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,75.2,8144,601.0,17.6,836622,Uusimaa
Southwest Finland,2020-03,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,1.0714285714285716,0.4166666666666667,,,5.557142857142857,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4,887,74.1,23.3,202061,Southwest Finland
South Karelia,2020-04,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,-0.5857142857142856,-1.657142857142857,-3.516666666666667,,3.6571428571428575,2.185714285714286,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,67.4,-488,387.3,27.4,47995,South Karelia
Southern Ostrobothnia,2020-04,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,-1.457142857142857,-1.1142857142857143,-1.4833333333333334,,3.3285714285714283,3.457142857142857,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,73.8,-935,123.6,25.4,77419,Southern Ostrobothnia
Southern Savonia,2020-04,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,-2.171428571428572,-1.4714285714285715,-3.483333333333333,,2.2142857142857144,2.814285714285714,2.6166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,68.9,-1228,143.5,30.9,50145,Southern Savonia
Kainuu,2020-04,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.9285714285714286,-1.6428571428571428,-3.6,,4.628571428571428,3.542857142857143,2.3666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,68.3,-462,857.2,28.5,27218,Kainuu
Tavastia Proper,2020-04,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,-8.957142857142857,-6.414285714285714,-9.5,,-2.3714285714285714,-0.8428571428571429,-1.55,,,,,,,,,,,,,,,,,,,,,,,,,,73.1,-69,197.5,25.3,64199,Tavastia Proper
Central Ostrobothnia,2020-04,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,-0.7999999999999999,-2.7571428571428567,-5.483333333333333,,3.357142857142857,1.9428571428571428,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,74.3,-450,189.5,23.4,28177,Central Ostrobothnia
Central Finland,2020-04,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,-8.442857142857143,-7.057142857142858,-9.683333333333334,,-1.4857142857142858,0.0714285714285714,-0.3166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,-262,94.5,23.2,106637,Central Finland
